No,channel_1,,channel_2,,channel_3,,channel_4,,channel_5,,channel_6,,channel_7,,channel_8,,channel_9,,channel_10,,output,label
67,28.706087,28.69897,28.69897,31.154781,31.155054,31.155054,31.765162,31.765123,31.765123,32.376686,20.000015,20.000013,20.000013,23.643192,23.64354,23.64354,25.40424,25.40427,25.40427,26.804121,37.59445,37.2
68,21.79997,21.794115,21.794115,24.88108,24.881212,24.881212,25.349714,25.349672,25.349672,25.664392,10.00002,10.000018,10.000018,14.375293,14.37558,14.37558,16.461111,16.461185,16.461185,18.002752,37.200935,37.2
69,33.76501,33.762634,33.762634,34.731342,34.731537,34.731537,34.966995,34.967003,34.967003,35.2219,30.000006,30.000006,30.000006,31.458433,31.458513,31.458513,32.17866,32.178688,32.178688,32.759556,37.70579,37.6
70,28.975597,28.968468,28.968468,31.853575,31.858734,31.858734,32.37904,32.375454,32.375454,32.907562,20.000017,20.000015,20.000015,23.904781,23.928915,23.928915,25.714142,25.718653,25.718653,27.108139,37.668884,38.0
71,25.411745,25.406471,25.406471,28.274866,28.275137,28.275137,28.918911,28.918882,28.918882,29.567034,15.000018,15.000016,15.000016,18.93781,18.93813,18.93813,20.87125,20.871346,20.871346,22.399824,37.435383,37.0
72,38.434437,38.43567,38.43567,37.94302,37.942074,37.942074,37.906994,37.907085,37.907085,37.833977,39.999996,39.999996,39.999996,39.31874,39.3187,39.3187,39.008465,39.008404,39.008404,38.764843,37.84519,37.0
73,38.443165,38.444233,38.444233,38.04565,38.044792,38.044792,37.99016,37.990253,37.990253,37.898956,39.999996,39.999996,39.999996,39.387394,39.387352,39.387352,39.08693,39.086884,39.086884,38.842377,37.856464,37.0
74,31.191628,31.187632,31.187632,32.890995,32.891186,32.891186,33.268795,33.268852,33.268852,33.670937,25.000011,25.00001,25.00001,27.454165,27.454458,27.454458,28.637527,28.637674,28.637674,29.578989,37.63487,37.6
75,28.130877,28.12572,28.12572,30.231155,30.231178,30.231178,30.516344,30.51636,30.51636,30.711973,20.000013,20.000011,20.000011,23.146774,23.146828,23.146828,24.611263,24.611319,24.611319,25.695297,37.485638,37.8
76,38.654774,38.655888,38.655888,38.270992,38.27096,38.27096,38.264812,38.26492,38.26492,38.25404,39.999996,39.999996,39.999996,39.425682,39.42562,39.42562,39.17097,39.170975,39.170975,38.984142,37.882065,37.4
77,16.49114,16.481544,16.481544,21.104872,21.104351,21.104351,21.78566,21.785355,21.785355,22.223202,2.84e-05,2.56e-05,2.56e-05,6.2972803,6.294394,6.294394,9.315636,9.31478,9.31478,11.410777,37.16861,37.8
78,18.247171,18.234093,18.234093,23.942492,23.942614,23.942614,25.0641,25.064152,25.064152,26.178713,4.44e-05,4e-05,4e-05,7.5024023,7.5029206,7.5029206,10.98328,10.984795,10.984795,13.7717,37.472004,37.8
79,15.997844,15.989388,15.989388,20.97129,20.970833,20.970833,21.67087,21.670681,21.670681,22.131506,2.93e-05,2.64e-05,2.64e-05,6.2891054,6.286187,6.286187,9.239707,9.238974,9.238974,11.27537,37.135635,37.4
80,25.367716,25.359667,25.359667,28.347229,28.347437,28.347437,28.716543,28.71651,28.71651,28.972519,15.000018,15.000016,15.000016,19.321209,19.32156,19.32156,21.2618,21.261793,21.261793,22.673119,37.43836,37.2
81,34.04683,34.043697,34.043697,35.195637,35.195896,35.195896,35.438187,35.438187,35.438187,35.703266,30.000008,30.000006,30.000006,31.686522,31.686653,31.686653,32.4917,32.491726,32.491726,33.130356,37.757057,38.0
82,22.718287,22.708538,22.708538,26.257298,26.257421,26.257421,26.716843,26.716795,26.716795,27.028393,10.000022,10.00002,10.00002,15.192745,15.193113,15.193113,17.578428,17.578495,17.578495,19.3046,37.34015,37.4
83,17.824833,17.815008,17.815008,22.78634,22.78643,22.78643,23.952589,23.948122,23.948122,25.092081,4.07e-05,3.67e-05,3.67e-05,6.70685,6.7072954,6.7072954,9.9621935,10.024953,10.024953,12.583978,37.349377,38.0
84,27.845154,27.839884,27.839884,30.326319,30.326551,30.326551,30.609594,30.609648,30.609648,30.82138,20.000015,20.000013,20.000013,23.310375,23.310837,23.310837,24.772425,24.772556,24.772556,25.828476,37.500824,37.2
85,15.993212,15.984705,15.984705,21.121798,21.12135,21.12135,21.827147,21.826979,21.826979,22.295555,2.98e-05,2.69e-05,2.69e-05,6.3813524,6.378369,6.378369,9.351917,9.351179,9.351179,11.393501,37.14822,37.4
86,33.792137,33.7891,33.7891,34.78645,34.78668,34.78668,35.04796,35.04794,35.04794,35.324303,30.000006,30.000006,30.000006,31.553822,31.553913,31.553913,32.322323,32.322346,32.322346,32.93974,37.712677,37.4
87,26.181513,26.172237,26.172237,29.479895,29.480185,29.480185,30.242226,30.242142,30.242142,30.999323,15.00002,15.000018,15.000018,19.740833,19.74128,19.74128,22.022467,22.022554,22.022554,23.80667,37.559185,37.2
88,33.549583,33.546875,33.546875,34.512093,34.512287,34.512287,34.736477,34.736485,34.736485,34.979053,30.000006,30.000006,30.000006,31.453354,31.453403,31.453403,32.159683,32.15972,32.15972,32.72442,37.68271,37.0
89,33.76243,33.76048,33.76048,34.835148,34.835308,34.835308,35.025814,35.025852,35.025852,35.23296,30.000008,30.000006,30.000006,31.469812,31.469885,31.469885,32.165802,32.165836,32.165836,32.714314,37.71694,37.8
90,28.690182,28.682907,28.682907,31.315216,31.315514,31.315514,31.869698,31.869688,31.869688,32.433937,20.000015,20.000013,20.000013,23.75496,23.75531,23.75531,25.512701,25.512743,25.512743,26.891144,37.610924,37.2
91,23.268288,23.260305,23.260305,27.422121,27.422794,27.422794,28.184893,28.184948,28.184948,28.94903,10.000025,10.000022,10.000022,15.395214,15.395574,15.395574,17.930542,17.930868,17.930868,19.883987,37.439423,37.8
92,33.693256,33.690548,33.690548,34.86774,34.868206,34.868206,34.94994,34.949993,34.949993,35.03817,30.000008,30.000006,30.000006,31.5829,31.583057,31.583057,32.279236,32.27932,32.27932,32.78236,37.719955,37.8
93,36.23985,36.238808,36.238808,36.629486,36.629543,36.629543,36.676212,36.676132,36.676132,36.741753,35.000004,35.000004,35.000004,35.54234,35.542427,35.542427,35.792183,35.792183,35.792183,35.98943,37.80716,37.4
94,25.042595,25.037355,25.037355,27.999746,28.000084,28.000084,28.398832,28.398792,28.398792,28.681528,15.000018,15.000016,15.000016,18.93717,18.93748,18.93748,20.73941,20.739408,20.739408,22.067774,37.40228,38.0
95,30.969007,30.964273,30.964273,32.84359,32.844,32.844,33.04356,33.04351,33.04351,33.195366,25.000011,25.00001,25.00001,27.604675,27.604933,27.604933,28.743782,28.743773,28.743773,29.5639,37.627457,37.6
96,30.9521,30.947056,30.947056,32.821423,32.82182,32.82182,33.016594,33.01655,33.01655,33.164413,25.000011,25.00001,25.00001,27.640587,27.640842,27.640842,28.78795,28.787941,28.787941,29.610628,37.624958,37.4
97,33.606113,33.603508,33.603508,34.675312,34.675766,34.675766,34.751266,34.751316,34.751316,34.833195,30.000006,30.000006,30.000006,31.498016,31.498137,31.498137,32.16868,32.168755,32.168755,32.656807,37.698486,37.6
98,31.42751,31.422478,31.422478,33.350647,33.350826,33.350826,33.73147,33.731533,33.731533,34.136166,25.000011,25.00001,25.00001,27.734688,27.73507,27.73507,29.01102,29.011189,29.011189,30.00973,37.684418,37.8
99,38.553814,38.555023,38.555023,38.12528,38.125244,38.125244,38.117153,38.117252,38.117252,38.103428,39.999996,39.999996,39.999996,39.372086,39.372,39.372,39.096657,39.096664,39.096664,38.895172,37.86647,37.2
100,30.816303,30.812551,30.812551,32.37418,32.3745,32.3745,32.564766,32.564724,32.564724,32.704636,25.00001,25.00001,25.00001,27.293127,27.293325,27.293325,28.346754,28.346739,28.346739,29.123062,37.575783,37.6
101,19.962782,19.951502,19.951502,23.968527,23.975323,23.975323,24.509647,24.512632,24.512632,24.859234,5.0000253,5.000023,5.000023,10.978471,11.008306,11.008306,13.776693,13.792542,13.792542,15.705346,37.293,37.4
102,30.541695,30.538027,30.538027,32.152275,32.152596,32.152596,32.34084,32.340805,32.340805,32.480755,25.00001,25.00001,25.00001,27.259552,27.25972,27.25972,28.280043,28.280037,28.280037,29.026007,37.553837,37.0
103,33.269665,33.26797,33.26797,34.20896,34.209175,34.209175,34.296658,34.296734,34.296734,34.376396,30.000006,30.000006,30.000006,31.277534,31.277563,31.277563,31.861456,31.861538,31.861538,32.293114,37.64751,37.2
104,17.720633,17.709238,17.709238,23.053093,23.05318,23.05318,24.15308,24.15315,24.15315,25.245129,4.23e-05,3.8e-05,3.8e-05,7.034343,7.0348454,7.0348454,10.34618,10.347703,10.347703,13.021292,37.37736,37.2
